rowID	row_ID	row_m_z	row_retention_time	ID	Identification_method	Molecular_formula	Name	VAR36
met_34	701	171.0063	0.73	ISO-10	Negative_Garrett_Std_Library.csv	C3H9O6P	GLYCEROL 2-PHOSPHATE/S	
met_35	778	687.2290	15.44					
met_36	695	565.0460	0.80					
met_37	716	276.9875	0.75					
met_38	714	439.0742	0.85					
met_39	741	289.0171	1.08					
met_40	699	317.0538	0.73					
met_41	1974	173.0087	1.68		Adduct search		[M-H2O+H]+ -18.0106 m/	
met_42	704	138.0559	6.48					
met_43	694	128.9594	0.70					
met_44	703	184.9850	0.74	439278n	Negative_Garrett_Std_Library.csv	C3H7O7P	L-2-PHOSPHOGLYCERIC AC	
met_45	712	404.1035	0.79					
met_46	700	531.2795	12.24					
met_47	721	179.0557	0.77	ISO-3	Negative_Garrett_Std_Library.csv	C6H12O6	C6H12O6-HEXOSE/KETOSE/	
met_48	805	302.9961	1.85					
met_49	1841	193.0232	1.77					
met_50	709	299.0765	6.51					
met_51	1273	132.0412	0.77					
met_52	698	104.0349	0.71	5951n	Negative_Garrett_Std_Library.csv	C3H7NO3	L-SERINE	
met_53	5	221.1543	13.97	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_54	748	274.0245	0.89					
met_55	1203	426.0214	1.14	C00008	Negative_Garrett_Std_Library.csv	C10H15N5O10	ADP	
met_56	722	259.0218	0.71	C00103	Negative_Garrett_Std_Library.csv	C6H13O9P	Glucose 1-Phosphate	
met_57	757	505.9874	0.82					
met_58	707	194.9467	0.74					
met_59	756	149.0452	0.82	ISO-1	Negative_Garrett_Std_Library.csv	C5H10O5	ALDOPENTOSE	
met_60	746	87.0081	0.83					
met_61	711	307.0107	0.83					
met_62	767	161.0088	2.09					
met_63	1932	306.0759	3.99					
met_64	1469	304.0606	1.57					
met_65	32	311.1681	13.40					
met_66	820	173.0450	0.92	8742n	Negative_Garrett_Std_Library.csv	C7H10O5	SHIKIMATE	
met_67	811	161.0452	2.96	1662n	Negative_Garrett_Std_Library.csv	C6H10O5	3-HYDROXY-3-METHYLGLUT	
met_68	126	791.4950	14.73					
met_69	710	145.0504	7.08					
met_70	44	269.1306	12.78					
met_71	718	345.0819	6.51					
met_72	884	328.0576	1.50		Adduct search		[M+Na-H] 21.9825 m/z a	
met_73	36	325.1839	13.97					
met_74	81	159.0660	7.86					
met_75	724	431.1034	0.91					
met_76	735	491.1240	0.80					
met_77	734	477.1714	6.71					
met_78	755	159.0772	0.81					
met_79	85	795.5238	16.21					
met_80	783	274.0931	6.30					
met_81	995	346.0548	1.68	6083n	Negative_Garrett_Std_Library.csv	C10H14N5O7P	ADENOSINE 5'-MONOPHOSP	
met_82	825	89.0238	0.85	C02154	Negative_Garrett_Std_Library.csv	C3H6O3	Glyceraldehyde	
met_83	788	244.9911	1.09					
met_84	864	338.0660	1.61					
met_85	747	313.1336	6.34					
met_86	779	267.0715	0.80	C00294	Negative_Garrett_Std_Library.csv	C10H12N4O5	Inosine	
met_87	827	101.0239	1.30					
met_88	713	118.0508	0.74	IS0-7	Negative_Garrett_Std_Library.csv	C4H9NO3	THREONINE/HOMOSERINE	
met_89	764	71.0131	0.89					
met_90	873	308.0715	1.41					
met_91	787	482.9603	0.77					
met_92	912	673.2502	16.52					
met_93	736	215.0325	0.73	C00293/	Negative_Garrett_Std_Library.csv	C6H12O6	GLUCOSE/FRUCTOSE [M+Cl	
met_94	1107	308.0716	1.54					
met_95	729	175.0612	7.39					
met_96	6	311.2009	14.84	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_97	782	655.2606	7.62					
met_98	841	128.0351	1.59					
met_99	101	305.0879	9.94					
met_100	1091	388.1169	0.80					
met_101	745	166.9746	0.76					
met_102	810	321.0822	6.13					
met_103	33	105.0189	0.83	439194n	Negative_Garrett_Std_Library.csv	C3H6O4	GLYCERIC ACID	
met_104	802	711.2197	1.22					
met_105	8	293.1754	12.76	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_106	806	755.2082	1.21					
met_107	728	426.0214	0.80	C00008	Negative_Garrett_Std_Library.csv	C10H15N5O10	ADP	
met_108	749	402.9937	0.80	C00015	Negative_Garrett_Std_Library.csv	C9H14N2O12P	UDP	
met_109	132	793.5110	16.76					
met_110	1279	175.0243	2.44					
met_111	795	609.1872	0.80					
met_112	726	157.0363	0.79	204n	Negative_Garrett_Std_Library.csv	C4H6N4O3	ALLANTOIN	
met_113	1626	533.2950	12.73					
met_114	1202	277.0353	0.76					
met_115	759	225.0611	0.72					
met_116	12	224.0924	13.18	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_117	1089	176.9356	0.77					
met_118	705	400.1239	8.31					
met_119	730	291.0150	0.84					
met_120	87	845.5427	15.99					
met_121	10	187.0973	9.23	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_122	11	181.0867	10.55	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_123	47	297.1523	12.85					
met_124	842	133.0504	1.43					
met_125	733	131.0460	0.72	6267n	Negative_Garrett_Std_Library.csv	C4H8N2O3	ASPARAGINE	
met_126	964	418.0530	1.58					
met_127	752	137.0243	6.49					
met_128	723	300.0721	1.28					
met_129	100	141.0493	9.41					
met_130	21	265.1474	12.67	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_131	19	75.0080	0.93	757n	Negative_Garrett_Std_Library.csv	C2H4O3	GLYCOLATE	
met_132	798	112.9370	0.72					
met_133	1467	115.0033	2.06	C00122	Negative_Garrett_Std_Library.csv	C4H4O4	Fumaric Acid	
met_134	867	637.1815	0.97					
met_135	803	133.0540	0.89					
met_136	780	132.9738	0.87					
met_137	836	393.5322	2.12					
met_138	985	213.0012	1.83		Adduct search		[M+Na-H] 21.9825 m/z a	
met_139	959	708.1055	3.52					
met_140	720	223.0454	0.74					
met_141	727	601.2088	0.81					
met_142	1283	815.4980	15.60					
met_143	899	125.0178	1.17					
met_144	1149	292.1035	3.21					
met_145	13	293.1754	12.11	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_146	971	160.0612	1.54					
met_147	758	128.0351	0.77					
met_148	1115	309.0457	0.91					
met_149	851	142.9978	0.84					
met_150	1100	265.0194	1.22					
met_151	765	693.3315	11.60					
met_152	771	78.9583	0.73					
met_153	23	179.0710	11.11	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_154	944	188.0561	2.21	185n	Negative_Garrett_Std_Library.csv	C7H11NO5	N-ACETYL-DL-GLUTAMIC A	
met_155	768	149.0568	0.80					
met_156	794	163.0244	0.78					
met_157	838	72.9923	0.83	760n	Negative_Garrett_Std_Library.csv	C2H2O3	GLYOXYLIC ACID	
met_158	760	595.6616	6.49					
met_159	78	165.0190	8.06					
met_160	750	148.9606	0.83					
met_161	715	354.1187	8.30					
met_162	876	611.1428	3.99					
met_163	784	182.0457	6.50					
met_164	743	606.0725	0.81					
met_165	2040	132.9968	1.02	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_166	926	177.0401	0.85					
met_167	766	306.0146	0.82					
met_168	828	175.0611	6.58					
met_169	980	281.0142	0.98					
met_170	1864	129.0194	0.82					
met_171	870	235.0453	0.96					
met_172	791	175.0612	6.77					
met_173	781	103.0031	0.81					
met_174	1209	566.0503	0.81					
met_175	854	249.0546	1.30					
met_176	976	85.0288	2.46					
met_177	52	533.1807	16.21	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_178	1362	89.0237	0.98	C02154	Negative_Garrett_Std_Library.csv	C3H6O3	Glyceraldehyde	
met_179	808	290.0199	0.84					
met_180	74	171.0660	8.71	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_181	809	202.0350	0.85					
met_182	1383	205.0350	3.17					
met_183	770	489.2135	13.30		Adduct search		[M+CHOONa] 67.9874 m/z	
met_184	786	437.2210	11.36					
met_185	1930	306.0759	6.52					
met_186	1237	382.0988	3.21					
met_187	953	377.0849	0.86	ISO-4	Negative_Garrett_Std_Library.csv	C12H22O11	DISACCHARIDE (6C/6C)	
met_188	897	154.9959	1.04					
met_189	868	133.1736	0.93					
met_190	862	239.0767	0.81					
met_191	775	572.1483	5.81					
met_192	777	218.1029	6.60					
met_193	751	357.2137	8.38					
met_194	817	481.9762	0.77					
met_195	1281	406.0312	1.85					
met_196	922	191.0891	1.69					
met_197	790	535.0363	0.81					
met_198	829	359.1392	6.34					
met_199	832	293.0507	1.10		Complex search		Complex of 147.0296 an	
met_200	824	323.0281	1.28	6030n	Negative_Garrett_Std_Library.csv	C9H13N2O9P	URIDINE-5-MONOPHOSPHAT	
met_201	887	665.2124	1.21	439531n	Negative_Garrett_Std_Library.csv	C24H42O21	STACHYOSE	
met_202	1473	440.0777	0.85					
met_203	807	207.0145	0.79					
met_204	1039	755.2181	15.44		Adduct search		[M+CHOONa] 67.9874 m/z	
met_205	801	391.1217	7.06		Adduct search		[M+CHOONa] 67.9874 m/z	
met_206	107	121.0440	2.19		Negative_Garrett_Std_Library.csv	C4H2D4O4	Succinic-2,2,3,3-D4 Ac	
met_207	763	329.0871	7.08					
met_208	104	209.0365	9.94		Adduct search		[M+CHOONa] 67.9874 m/z	
met_209	792	567.1663	6.71					
met_210	793	389.0718	6.51					
met_211	933	190.9496	1.72					
met_212	37	277.1439	12.91					
met_213	859	442.6497	6.44					
met_214	816	403.1281	6.35					
met_215	27	132.9967	0.87	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_216	935	158.9931	1.95					
met_217	1789	815.2291	0.81					
met_218	846	333.0586	0.70					
met_219	42	173.0816	8.56	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_220	974	119.0349	1.38					
met_221	1157	134.0470	1.49	190n	Negative_Garrett_Std_Library.csv	C5H5N5	ADENINE	
met_222	754	149.1982	0.81					
met_223	814	309.1187	6.19					
met_224	740	194.9367	0.76					
met_225	797	277.1551	8.51					
met_226	1023	202.0353	0.96					
met_227	830	193.0349	0.77	ISO-11	Negative_Garrett_Std_Library.csv	C6H10O7	D-GLUCURONIC ACID/D-GL	
met_228	1307	217.0155	1.89					
met_229	874	391.0318	1.92					
met_230	996	151.0258	2.52	1188n	Negative_Garrett_Std_Library.csv	C5H4N4O2	XANTHINE	
met_231	857	129.0556	7.24	70n	Negative_Garrett_Std_Library.csv	C6H10O3	4-METHYL-2-OXO-PENTANO	
met_232	800	337.1498	7.65					
met_233	812	110.9844	0.72					
met_234	1548	149.0279	0.79					
met_235	1414	415.1455	2.16					
met_236	822	130.9981	0.82					
met_237	1116	799.2341	1.10					
met_238	860	312.0943	5.63					
met_239	1093	268.9823	0.78					
met_240	761	243.1709	8.04					
met_241	1550	653.1773	0.81					
met_242	1102	261.0722	1.37					
met_243	1502	305.0687	1.60					
met_244	997	318.0759	1.17					
met_245	1897	192.0231	0.90					
met_246	1416	288.1197	1.48					
met_247	796	304.1512	6.83					
met_248	2038	343.0191	0.73					
met_249	737	148.9891	0.80					
met_250	774	148.8188	0.80					
met_251	815	289.0322	0.74					
met_252	1470	131.0348	6.03	11756n	Negative_Garrett_Std_Library.csv	C5H8O4	ETHYLMALONIC ACID	
met_253	900	132.8538	0.92					
met_254	56	309.1702	12.17					
met_255	1153	613.1604	1.61		Complex search		Complex of 306.0759 an	
met_256	834	367.0643	6.51		Adduct search		[M+CHOONa] 67.9874 m/z	
met_257	840	493.1245	6.34					
met_258	753	150.0558	8.30					
met_259	1973	185.0217	0.78					
met_260	1858	112.0129	1.66					
met_261	46	329.2329	11.05	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_262	1516	243.0615	2.82	6029n	Negative_Garrett_Std_Library.csv	C9H12N2O6	URIDINE	
met_263	907	308.9915	1.08					
met_264	858	299.0877	1.23					
met_265	139	213.0148	11.17	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_266	109	161.0451	0.78					
met_267	1208	683.2228	0.80					
met_268	821	217.0300	0.73					
met_269	39	293.1789	13.74	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_270	987	187.1084	5.71					
met_271	1119	228.0806	1.19					
met_272	769	492.1832	6.52					
met_273	921	129.0556	6.72		Adduct search		[M-HCOOH+H]+ -46.0055	
met_274	40	315.2532	12.96	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_275	96	179.0710	11.54					
met_276	983	145.0868	9.12					
met_277	1585	409.1344	7.80					
met_278	1110	131.0348	4.63	743n	Negative_Garrett_Std_Library.csv	C5H8O4	GLUTARATE	
met_279	835	514.2154	7.00					
met_280	1006	411.0779	6.13					
met_281	878	254.0600	6.35					
met_282	1236	362.0504	1.99	6804n	Negative_Garrett_Std_Library.csv	C10H14N5O8P	GUANOSINE 5'-MONOPHOSP	
met_283	950	593.1563	0.95					
met_284	1095	919.4501	15.45					
met_285	850	442.0164	1.28					
met_286	116	797.5410	15.37					
met_287	1120	343.0663	6.34					
met_288	785	686.1409	6.76					
met_289	1274	810.4736	8.20					
met_290	1345	287.1244	7.03					
met_291	991	788.0739	2.12					
met_292	1167	337.0770	1.60					
met_293	978	337.0439	4.41					
met_294	31	249.1490	14.94	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_295	1098	209.0298	0.75	33037n	Negative_Garrett_Std_Library.csv	C6H10O8	D-SACCHARIC ACID	
met_296	1830	756.2192	15.44					
met_297	925	250.0328	6.48					
met_298	2087	245.0595	2.51					
met_299	833	423.2210	13.30					
met_300	1112	389.1668	0.81					
met_301	961	439.0034	1.09					
met_302	1882	206.1011	7.64	ISTD-03	Negative_Garrett_Std_Library.csv	C11H9D3N2O2	Tryptophan-2,3,3-D3	
met_303	1045	378.0965	4.43					
met_304	929	563.1457	0.93					
met_305	1618	404.0423	1.29					
met_306	1099	356.9990	0.73					
met_307	863	385.0979	0.88					
met_308	1401	317.0312	1.11					
met_309	1114	415.1085	0.86					
met_310	1000	562.3133	12.59					
met_311	1108	627.2079	14.42					
met_312	1704	305.0119	0.85					
met_313	1586	365.1445	7.80					
met_314	892	337.0769	0.84					
met_315	789	414.2350	8.10					
met_316	1508	103.0397	2.23	11671n	Negative_Garrett_Std_Library.csv	C4H8O3	ALPHA-HYDROXYISOBUTYRI	
met_317	524	859.4830	14.74		Adduct search		[M+CHOONa] 67.9874 m/z	
met_318	1168	161.0069	0.90					
met_319	993	364.0879	6.31					
met_320	1305	427.0095	1.90		Adduct search		[M+Na-H] 21.9825 m/z a	
met_321	1058	364.0813	2.20					
met_322	849	334.1766	8.92					
met_323	969	325.1133	6.68					
met_324	1278	323.0279	0.81					
met_325	1609	159.0296	3.12					
met_326	1097	599.2666	12.24		Adduct search		[M+CHOONa] 67.9874 m/z	
met_327	967	122.0246	1.31	938n	Negative_Garrett_Std_Library.csv	C6H5NO2	NICOTINATE	
met_328	893	335.0532	6.51					
met_329	1931	413.1293	7.06					
met_330	1885	259.0064	2.18					
met_331	120	190.9911	8.26	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_332	913	173.0454	6.70					
met_333	1204	191.0556	2.86					
met_334	1175	205.0712	4.83					
met_335	930	368.0979	6.52					
met_336	853	282.0840	6.25	6802n	Negative_Garrett_Std_Library.csv	C10H13N5O5	Guanosine	
met_337	1587	269.0537	0.75					
met_338	1004	371.5373	2.13					
met_339	1260	259.1295	5.08					
met_340	917	194.9265	0.77					
met_341	1244	271.1230	1.61					
met_342	1129	517.1395	0.89					
met_343	1886	259.0064	2.04					
met_344	2106	73.0287	2.11					
met_345	2082	130.0507	2.24	88064n	Negative_Garrett_Std_Library.csv	C5H9NO3	N-ACETYL-L-ALANINE	
met_346	861	157.0503	7.97					
met_347	962	203.0669	1.25					
met_348	51	356.1864	15.86					
met_349	931	189.0039	0.85					
met_350	1352	495.3182	7.43					
met_351	1033	521.9825	1.28					
met_352	973	267.0715	0.93	C00294	Negative_Garrett_Std_Library.csv	C10H12N4O5	Inosine	
met_353	58	329.2329	11.66	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_354	1313	131.0459	1.45	111n	Negative_Garrett_Std_Library.csv	C4H8N2O3	3-UREIDOPROPIONATE	
met_355	1636	163.0398	8.27	637542n	Negative_Garrett_Std_Library.csv	C9H8O3	4-COUMARATE	
met_356	894	363.1655	8.51					
met_357	823	314.2084	8.46					
met_358	1215	205.0347	0.82					
met_359	916	360.0706	5.95					
met_360	1309	88.0399	1.43					
met_361	1590	721.3651	12.35					
met_362	804	254.0667	1.28		Adduct search		[M-HCOOH+H]+ -46.0055	
met_363	886	300.1924	7.85					
met_364	986	293.2115	13.11					
met_365	108	226.0266	9.92					
met_366	1008	231.0980	1.34					
met_367	179	277.0236	9.94					
met_368	866	303.2325	15.95	444899n	Negative_Garrett_Std_Library.csv	C20H32O2	Arachidonic Acid (20:4	
met_369	1554	624.1349	0.80					
met_370	1103	305.1752	11.78					
met_371	885	295.1028	6.22					
met_372	48	277.1439	13.53	20393n	Negative_Garrett_Std_Library.csv	C16H22O4	Mono-(2-Ethylhexyl) Ph	
met_373	1976	610.1902	0.80					
met_374	924	427.0248	1.13					
met_375	1133	447.1353	0.85					
met_376	1113	147.0661	6.51					
met_377	855	167.0324	7.08		Adduct search		[M+Na-H] 21.9825 m/z a	
met_378	1321	133.0504	2.18					
met_379	1551	517.1619	0.79					
met_380	1277	273.1454	7.59					
met_381	882	113.0605	7.75					
met_382	68	239.1284	12.60	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_383	2043	229.1553	7.38					
met_384	772	524.6261	6.09					
met_385	1492	635.1417	1.61		Complex search		Complex of 306.0759 an	
met_386	60	233.1541	14.18	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_387	1150	483.2725	13.28					
met_388	38	242.1757	10.57	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_389	1027	337.0771	1.30					
met_390	1139	538.0815	1.69					
met_391	877	151.0607	0.77	ISO-9	Negative_Garrett_Std_Library.csv	C5H12O5	C5-SUGAR ALCOHOL	
met_392	1802	791.4951	14.88					
met_393	1939	613.1603	1.30		Complex search		Complex of 306.0759 an	
met_394	813	407.1926	7.19					
met_395	1141	564.3297	13.08					
met_396	847	126.9048	0.79					
met_397	1612	635.1417	1.43		Complex search		Complex of 306.0759 an	
met_398	1716	284.1249	6.03					
met_399	1390	138.0194	10.29					
met_400	843	186.9649	0.73					
met_401	1122	229.0110	0.74	C00199	Negative_Garrett_Std_Library.csv	C5H11O8P	Ribulose 5-Phosphate	
met_402	911	187.0610	7.27					
met_403	63	250.1442	15.21	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_404	1306	164.0714	6.17					
met_405	62	309.1735	13.07	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_406	845	300.0485	0.74					
met_407	1643	272.0884	1.38					
met_408	905	728.1526	7.15					
met_409	1106	449.2397	8.95					
met_410	936	521.9820	0.83					
met_411	1205	549.1664	0.82					
met_412	958	202.0718	6.28					
met_413	865	181.0480	7.86		Adduct search		[M+Na-H] 21.9825 m/z a	
met_414	1998	203.0825	7.63	6305n	Negative_Garrett_Std_Library.csv	C11H12N2O2	Tryptophan	
met_415	940	437.2210	11.67					
met_416	839	189.0767	7.01					
met_417	890	277.0858	6.93					
met_418	141	191.1075	12.62	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_419	66	201.1130	9.86					
met_420	1945	611.1428	1.61		Complex search		Complex of 306.0759 an	
met_421	2012	742.0661	2.11					
met_422	1166	121.0294	8.06	126n	Negative_Garrett_Std_Library.csv	C7H6O2	4-HYDROXYBENZALDEHYDE	
met_423	1615	236.0595	1.49					
met_424	965	559.3120	13.08					
met_425	819	169.0074	6.45					
met_426	1101	289.1803	12.33					
met_427	1933	469.3383	9.74					
met_428	1128	741.2372	16.50		Adduct search		[M+CHOONa] 67.9874 m/z	
met_429	1031	295.1026	2.84					
met_430	999	381.1211	6.34		Adduct search		[M+CHOONa] 67.9874 m/z	
met_431	998	886.3076	6.44					
met_432	1940	237.0611	0.78					
met_433	1513	216.0508	1.33					
met_434	1003	389.1668	1.10					
met_435	1036	154.9982	1.67		Adduct search		[M-H2O+H]+ -18.0106 m/	
met_436	380	194.0803	14.03					
met_437	954	219.0110	1.74					
met_438	1135	841.2445	1.19					
met_439	1094	229.0499	9.88					
met_440	888	251.0592	6.95					
met_441	1510	115.0149	0.76					
met_442	1144	113.0241	0.74					
met_443	1733	345.0824	7.50					
met_444	1757	117.0554	3.98					
met_445	72	293.1753	13.13					
met_446	2015	223.0277	2.62					
met_447	1010	377.1809	9.00					
met_448	856	321.1548	7.97					
met_449	818	303.0715	6.66					
met_450	901	157.0503	7.77					
met_451	61	361.1624	12.76		Adduct search		[M+CHOONa] 67.9874 m/z	
met_452	1720	292.1034	1.41					
met_453	910	203.0561	7.09					
met_454	844	187.0610	6.85					
met_455	896	184.0612	7.11					
met_456	872	295.0853	6.92					
met_457	891	418.1646	8.50					
met_458	1287	119.0348	0.77					
met_459	956	430.2302	6.79					
met_460	951	137.0243	7.86					
met_461	919	171.0660	8.39					
met_462	937	318.1663	6.50					
met_463	1007	137.0242	9.98					
met_464	1501	228.9961	2.22					
met_465	904	786.1631	7.42					
met_466	1793	219.0505	1.13					
met_467	1705	148.0766	8.03					
met_468	1145	588.3289	13.07					
met_469	1105	521.2520	12.25					
met_470	1210	191.1075	12.46	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_471	949	557.2010	13.29		Adduct search		[M+CHOONa] 67.9874 m/z	
met_472	1219	147.0660	2.88					
met_473	948	613.0201	1.85					
met_474	1721	146.0167	1.16					
met_475	915	348.1924	8.95					
met_476	71	181.0868	10.27	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_477	1054	304.1510	4.67					
met_478	1285	555.2834	12.91					
met_479	117	247.0582	11.10		Adduct search		[M+CHOONa] 67.9874 m/z	
met_480	1111	114.0194	0.72					
met_481	947	784.1490	7.42					
met_482	852	246.9757	0.83					
met_483	1354	154.0144	7.47					
met_484	1625	157.0251	1.41	439216n	Negative_Garrett_Std_Library.csv	C5H6N2O4	(S)-DIHYDROOROTATE	
met_485	914	315.1669	6.75					
met_486	871	557.3290	8.05					
met_487	1755	342.0806	6.29		Adduct search		[M+CHOONa] 67.9874 m/z	
met_488	1263	183.0294	6.08					
met_489	848	350.1277	7.95					
met_490	1929	488.1612	0.78					
met_491	1959	817.5098	16.27		Adduct search		[M+Na-H] 21.9825 m/z a	
met_492	955	253.1263	14.59					
met_493	1038	180.0787	11.52					
met_494	1366	507.3177	7.47					
met_495	879	375.1877	6.52					
met_496	1735	274.0931	6.87					
met_497	1962	221.0296	1.32					
met_498	192	412.9659	12.28					
met_499	1213	183.0295	8.21					
met_500	1410	166.0143	1.37					
met_501	1928	439.0859	0.79					
met_502	1258	142.0507	3.20					
met_503	1629	244.1297	6.51					
met_504	1061	258.1452	3.27					
met_505	941	224.0562	9.07					
met_506	1707	761.3191	11.60		Adduct search		[M+CHOONa] 67.9874 m/z	
met_507	977	520.0846	1.64					
met_508	1986	261.1340	8.89					
met_509	1487	362.1019	1.10					
met_510	1066	174.0403	1.49	65065n	Negative_Garrett_Std_Library.csv	C6H9NO5	N-ACETYL-L-ASPARTIC AC	
met_511	1163	187.0610	7.06					
met_512	2046	314.2084	7.73					
met_513	1164	205.0715	6.48					
met_514	1805	983.5951	15.63					
met_515	1117	121.0294	8.55					
met_516	1628	767.4931	16.25					
met_517	2084	231.0619	1.28					
met_518	1358	279.1082	6.80					
met_519	923	579.0258	0.81					
met_520	1369	481.2560	13.03					
met_521	1127	427.0247	0.81					
met_522	1834	341.0902	6.04					
met_523	2013	460.2040	1.42					
met_524	938	139.0399	8.19					
met_525	142	215.1283	10.45					
met_526	1365	172.0611	0.86					
met_527	1824	341.0905	6.52					
met_528	203	368.9762	12.28					
met_529	1155	217.0824	1.28					
met_530	975	468.2818	7.89					
met_531	1346	289.1150	0.78					
met_532	918	258.1453	6.76		Adduct search		[M-HCOOH+H]+ -46.0055	
met_533	1850	143.0347	0.74					
met_534	1832	232.0457	0.87					
met_535	1558	676.2533	16.51					
met_536	50	209.0789	9.23		Adduct search		[M+Na-H] 21.9825 m/z a	
met_537	1246	442.0162	0.81					
met_538	1619	245.0776	1.40					
met_539	1665	127.0147	1.38					
met_540	143	353.1994	13.22	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_541	1005	304.9909	0.93					
met_542	1639	332.0441	6.37					
met_543	1304	432.1799	9.21					
met_544	1132	491.1612	0.83					
met_545	1300	294.0227	6.47					
met_546	1289	545.1587	6.72		Adduct search		[M+CHOONa] 67.9874 m/z	
met_547	73	361.1625	12.11		Adduct search		[M+CHOONa] 67.9874 m/z	
met_548	1521	375.0172	1.96					
met_549	1506	972.2971	1.22					
met_550	1118	196.0246	7.63					
met_551	1126	849.3365	6.85					
met_552	1472	271.0697	7.59					
met_553	942	201.1241	6.65					
met_554	1231	331.0664	6.16					
met_555	1811	196.0247	10.28	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_556	1676	367.0611	2.97		Adduct search		[M+Na-H] 21.9825 m/z a	
met_557	1927	561.2875	7.38					
met_558	945	479.2145	8.30					
met_559	1598	345.0798	2.96					
met_560	1303	291.0518	0.87					
met_561	1222	99.0082	0.83					
met_562	1873	861.4964	16.78		Adduct search		[M+CHOONa] 67.9874 m/z	
met_563	2002	236.0595	1.39					
met_564	1014	239.0591	2.00					
met_565	69	356.1864	15.44					
